id,name,artist_name,artist_genres,release_date,total_tracks
4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2023-11-17,29
4czdORdCWP9umpbhFXK2fW,For All The Dogs,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2023-10-06,23
5MS3MvWHJ3lOZPLiMxzOU6,Her Loss,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2022-11-04,16
3cf4iSSKd8ffTncbtKljXw,"Honestly, Nevermind",Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2022-06-17,14
3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,21
6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2020-05-01,14
7dqpveMVcWgbzqYrOdkFTD,Care Package,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2019-08-02,17
1ATL5GLyefJaxhQzSPVrLX,Scorpion,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2018-06-29,25
1lXY618HWkwYKJWBRYR4MK,More Life,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2017-03-18,22
40GMAhriYJRO1rsY4YdrZb,Views,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2016-05-06,20
1ozpmkWcCHwsQ4QTnxOOdT,What A Time To Be Alive,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2015-09-20,11
0ptlfJfwGTy0Yvrk14JK1I,If You're Reading This It's Too Late,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2015-02-12,17
2ZUFSbIkmFkGag000RWOpA,Nothing Was The Same (Deluxe),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2013-01-01,16
1XslIirSxfAhhxRdn4Li9t,Nothing Was The Same,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2013-01-01,13
6X1x82kppWZmDzlXXK3y3q,Take Care (Deluxe),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2011-11-15,19
6agmeioaDOBupymziJihgB,Thank Me Later (Int'l Version),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2010-01-01,15
1LShhEEKRT5MNPcO7jtYHh,So Far Gone,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2009,18
3CHCm9n05a3tG4cQJ4rJwq,For All The Dogs Scary Hours Edition (Instrumental),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2023-11-16,6
4DjJtllSDzVDBf7PYtsHaT,Slime You Out,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2023-09-15,1
61XhXTtorAgw4lRnh8GN0c,MELTDOWN (feat. Drake),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2023-07-27,1
5bLE2kmkZWlzAYeb6To6LA,Autumn Variations (Fan Living Room Sessions),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2023-10-02,28
5LXOgcszGvUkYzYL4v6wYg,Autumn Variations,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2023-09-29,14
2WFFcvzM0CgLaSq4MSkyZk,- (Deluxe),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2023-05-05,18
2CIOGAByaHyjQ1EO55JSzC,= (Tour Edition),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2022-05-27,23
32iAEBstCjauDhyKpGjTuq,=,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2021-10-29,14
0a28QsFN8zbrWSvbSQ40PI,2step (The Remixes),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2021-10-29,14
3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2019-07-12,15
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2017-03-03,16
0MeOIA0wwSa6nW79jy8QcZ,x (Wembley Edition),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2015-11-13,23
2hyDesSAYNefikDJXlqhPE,5,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2014-06-23,32
1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2014-06-21,16
3QbPtoOWiJqZurXXxJwaOD,Loose Change,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2011-12-09,8
4JUtnlZKdLr01xEIymhm0G,Live at the Bedford,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2011-12-09,6
6DpIyaMgt5p9HlGd1c0LDM,No.5 Collaborations Project,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2011-09-09,8
02pi98kE0nra0yBqCStzbC,+,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2011-09-09,16
2yFLu758P5VjG5ZyyHGSrp,A Beautiful Game,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2023-05-04,1
6fyUUW7ISpjbxCxaBHl1UN,Life Goes On (feat. Luke Combs),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2023-05-03,2
6dhAJ4oigNFSv4paZnZHmW,Eyes Closed (Piano Version),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2023-03-23,2
3jRseYXGmX8RQ6ZTQ6tvsy,Eyes Closed (Lost Frequencies Remix),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2023-03-23,2
5SNPs8Oz8Nmhv0MA6YnJpE,F64,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2023-01-19,1
0Wf65emw9eAwbjJ45gMMqp,Watching Movies with the Sound Off (10th Anniversary),Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2023-06-23,20
5LNX3esjvdBJ6hN4XDvCJn,"I Love Life, Thank You",Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2022-07-22,13
5SKnXCvB4fcGSZu32o3LRY,Faces,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2021-10-15,25
1YZ3k65Mqw3G8FzYlW1mmp,Circles (Deluxe),Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2020-03-19,14
5sY6UIQ32GqwMLAfSNEaXb,Circles,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2020-01-17,12
5wtE5aLX5r7jOosmPhJhhk,Swimming,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2018-08-03,13
6f6tko6NWoH00cyFOl4VYQ,The Divine Feminine,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2016-09-16,10
0YA7XxxfkaGwecj3liSTvj,Best Day Ever (5th Anniversary Remastered Edition),Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2016-06-03,16
2Tyx5dLhHYkx6zeAdVaTzN,GO:OD AM,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2015-09-18,17
1aDhas2rvJmiGw3zVVI3mm,Live From Space,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2013-12-17,14
5lftuHeYvtCA64xGfUviwS,Watching Movies with the Sound Off,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2013-06-18,16
0LdaWkTotOqOcUxwEPBF6N,Mac Miller : Live From London (With The Internet),Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2013-01-01,7
1xCNBnc7Gm2VudnyeyZ11Q,Macadelic,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2012-03-23,17
3jRFaGrEgmH4amGNQrEVhW,Blue Slide Park (Commentary Version),Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2011-11-15,32
17mAoDs7T8EA9zzlj6QPBv,Blue Slide Park,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2011-11-08,16
6TFm9KGW7Lbxrl2Zsg4X9R,K.I.D.S. (Deluxe),Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2010-08-13,18
1jzqEyjugAp9iLtRsj9LZg,K.I.D.S.,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2010-08-13,16
6oKK0oLdErWSkKIul6PjzF,Therapy pt. 2 [Feat. Mac Miller],Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2022-10-10,1
5KBdvvmKJE0vVJkzZGfLzj,Colors and Shapes,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2021-09-15,1
3CC2CaWbWSxaQiVhXj5MOs,I Believed It (feat. Mac Miller),Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",2021-07-01,1
3bTNxJYk2bwdWBMtrjBxb0,POWER UP,ACDC,"['australian rock', 'hard rock', 'rock']",2020-11-13,12
6OwvO40ahugJE5PH4TjqTg,Rock or Bust,ACDC,"['australian rock', 'hard rock', 'rock']",2014-11-28,11
4H6JMsvxmh0U7VBYiWiyLa,Live at River Plate,ACDC,"['australian rock', 'hard rock', 'rock']",2012-11-19,19
7qVfz4UGONwEd5nQjj0ESN,Black Ice,ACDC,"['australian rock', 'hard rock', 'rock']",2008-10-20,15
5JPVHEB67TREre4Q8JOfCQ,Stiff Upper Lip,ACDC,"['australian rock', 'hard rock', 'rock']",2000-02-25,12
1zXYNAA57WJ33GgZJHchhX,Ballbreaker,ACDC,"['australian rock', 'hard rock', 'rock']",1995-09-22,11
6jOO0YHvuHP4UkJuDpcAoz,Live (Collector's Edition),ACDC,"['australian rock', 'hard rock', 'rock']",1992-10-27,23
1dmBXO2zmCbsf8qAicqbs0,Live,ACDC,"['australian rock', 'hard rock', 'rock']",1992-10-27,14
4vu7F6h90Br1ZtYYaqfITy,The Razors Edge,ACDC,"['australian rock', 'hard rock', 'rock']",1990-09-24,12
5jfgUmvXCar7Qf5lidVkqI,Blow Up Your Video,ACDC,"['australian rock', 'hard rock', 'rock']",1988-02-01,10
07EFoHHspqSwsmkbnWaB4A,Who Made Who,ACDC,"['australian rock', 'hard rock', 'rock']",1986-05-24,9
0rOXa1wPbBrCNl6knMyDBW,Fly On the Wall,ACDC,"['australian rock', 'hard rock', 'rock']",1985-06-28,10
0ZD2tIjWo9fwzPndZ04wDY,Flick of the Switch,ACDC,"['australian rock', 'hard rock', 'rock']",1983-08-15,10
7DUvURQ0wfA1kgG8j99frR,For Those About to Rock (We Salute You),ACDC,"['australian rock', 'hard rock', 'rock']",1981-11-23,10
6mUdeDZCsExyJLMdAfDuwh,Back In Black,ACDC,"['australian rock', 'hard rock', 'rock']",1980-07-25,10
10v912xgTZbjAtYfyKWJCS,Highway to Hell,ACDC,"['australian rock', 'hard rock', 'rock']",1979-07-27,10
38MklVAM0DEnMCLucNckDD,If You Want Blood You've Got It (Live),ACDC,"['australian rock', 'hard rock', 'rock']",1978-10-13,10
4iMaHsHqTg3rwOtRa5wEbm,Powerage,ACDC,"['australian rock', 'hard rock', 'rock']",1978-05-05,9
3JwFNl80WWeXPiKEjIFbqa,Let There Be Rock,ACDC,"['australian rock', 'hard rock', 'rock']",1977-03-21,8
76mvVgXOde87B9aOzLXCOI,Dirty Deeds Done Dirt Cheap,ACDC,"['australian rock', 'hard rock', 'rock']",1976-09-20,9
1CS8eBSCVXMwYJytG5aYfX,Lover/Friend,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2023-11-30,4
6qYJO4dmiWCqILHweWVmUf,KAYTRAMINÉ (Instrumentals),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2023-09-15,11
1plAqF2W8hwAhcpBAfGNsW,KAYTRAMINÉ,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2023-05-19,11
2OKXfIrdweRkrZmgD0Ikaz,BUBBA (Instrumental Version),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2020-09-04,13
5FQ4sOGqRWUA5wO20AwPcO,BUBBA,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2019-12-13,17
6JD4Qerb8IcaAzFgpFw0sa,99.9%,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2016-05-06,15
4dWpQRkca47a9fA7W78rY3,Rebuke,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2023-05-15,1
3unS7dpXcZ0MmNBDkp5Hqx,4EVA (feat. Pharrell Williams),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2023-04-07,1
5YTiQmOzu1m293UgtWNJSR,Assumptions (Kaytranada Edit),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2023-03-10,2
1SFh4fpWMEThFiNnSAXLsg,All Along (Kaytranada Remix),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2022-09-14,1
4rZPUX1MOeZ4XpJSta8Epm,Twin Flame,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2022-08-02,2
6LuY3APmuxui8BM2oibkrZ,Out Of Time (Remix Bundle),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2022-04-22,4
56Z5er1cgYmXDuG49B953d,Iced Tea,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2022-03-16,1
4BwfoXhDqTfiGS6pZueR9g,Intimidated,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2021-11-19,3
4TUIDl1OR5xSqEy0tPZQDC,The Don & The Boss (KAYTRANADA Remix),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2021-02-26,1
4JOlhEazXmlErhrnmABjYZ,Caution,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2021-02-18,1
5iO3erM9U06Ph7MNqaxVEo,Don’t Start Now (Kaytranada Remix),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2020-09-11,1
3bLZlNsCcoc4Ih0FtqPvkF,Teen Scene feat. Buddy,Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2020-09-07,1
6GyPVVUC4yDHTkP3NevWJc,Look Easy (feat. Lucky Daye),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2020-07-16,3
0kz0AX7wPB6yP67kqTtHfj,What You Need (feat. Charlotte Day Wilson),Kaytranada,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",2019-12-12,1
